<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
07.09.2018;104120;104120;104120;104120
07.09.2018;104110;104110;104110;104110
07.09.2018;104150;104150;104150;104150
07.09.2018;104110;104110;104100;104100
07.09.2018;104070;104070;104070;104070
07.09.2018;104100;104100;104100;104100
07.09.2018;104050;104050;104000;104000
07.09.2018;104020;104020;104020;104020
07.09.2018;104190;104190;104190;104190
07.09.2018;104200;104200;104200;104200
07.09.2018;104090;104090;104080;104080
07.09.2018;104050;104050;104020;104020
07.09.2018;104100;104100;104100;104100
07.09.2018;104100;104100;104100;104100
07.09.2018;104090;104100;104090;104100
07.09.2018;104070;104070;104070;104070
07.09.2018;104060;104060;104060;104060
07.09.2018;104120;104120;104120;104120
07.09.2018;104190;104200;104190;104200
07.09.2018;104210;104210;104210;104210
07.09.2018;104180;104180;104180;104180
07.09.2018;104240;104240;104240;104240
07.09.2018;104260;104320;104260;104320
07.09.2018;104320;104320;104320;104320
07.09.2018;104320;104330;104320;104330
07.09.2018;104350;104400;104320;104400
07.09.2018;104300;104320;104300;104300
07.09.2018;104400;104480;104390;104480
07.09.2018;104460;104480;104460;104470
07.09.2018;104480;104480;104440;104440
07.09.2018;104460;104460;104460;104460
07.09.2018;104500;104540;104500;104540
07.09.2018;104550;104560;104540;104540
07.09.2018;104570;104570;104570;104570
07.09.2018;104460;104460;104460;104460
07.09.2018;104450;104450;104360;104360
07.09.2018;104300;104300;104300;104300
07.09.2018;104410;104450;104410;104450
07.09.2018;104470;104470;104470;104470
07.09.2018;104390;104390;104390;104390
07.09.2018;104310;104310;104310;104310
07.09.2018;104330;104330;104330;104330
07.09.2018;104390;104390;104390;104390
07.09.2018;104450;104450;104450;104450
07.09.2018;104460;104460;104460;104460
07.09.2018;104490;104490;104490;104490
07.09.2018;104380;104380;104380;104380
07.09.2018;104450;104470;104450;104470
07.09.2018;104360;104420;104360;104420
07.09.2018;104370;104380;104350;104380
07.09.2018;104300;104300;104300;104300
07.09.2018;104330;104330;104330;104330
07.09.2018;104380;104380;104380;104380
07.09.2018;104420;104420;104420;104420
07.09.2018;104400;104400;104400;104400
07.09.2018;104410;104460;104410;104460
07.09.2018;104360;104360;104360;104360
07.09.2018;104330;104330;104330;104330
07.09.2018;104330;104330;104300;104300
07.09.2018;104330;104330;104330;104330
07.09.2018;104330;104330;104330;104330
07.09.2018;104310;104310;104310;104310
07.09.2018;104450;104460;104450;104460
07.09.2018;104410;104410;104410;104410
07.09.2018;104430;104430;104430;104430
07.09.2018;104400;104400;104360;104360
07.09.2018;104300;104300;104300;104300
07.09.2018;104330;104330;104330;104330
07.09.2018;104390;104390;104380;104380
07.09.2018;104440;104440;104390;104390
07.09.2018;104450;104470;104450;104470
07.09.2018;104460;104500;104460;104480
07.09.2018;104510;104560;104510;104560
07.09.2018;104310;104310;104290;104290
07.09.2018;104370;104370;104370;104370
07.09.2018;104360;104360;104360;104360
07.09.2018;104400;104400;104340;104340
07.09.2018;104370;104370;104370;104370
07.09.2018;104360;104360;104360;104360
07.09.2018;104360;104360;104040;104040
07.09.2018;103900;103900;103600;103760
07.09.2018;103750;103830;103750;103750
07.09.2018;103840;103850;103830;103830
07.09.2018;103800;103800;103800;103800
07.09.2018;103760;103760;103750;103750
07.09.2018;103720;103720;103700;103700
07.09.2018;103770;103770;103770;103770
07.09.2018;103780;103780;103780;103780
07.09.2018;103710;103710;103710;103710
07.09.2018;103660;103660;103650;103650
07.09.2018;103610;103610;103600;103600
07.09.2018;103570;103570;103570;103570
07.09.2018;103670;103670;103670;103670
07.09.2018;103700;103700;103700;103700
07.09.2018;103660;103660;103610;103610
07.09.2018;103640;103640;103640;103640
07.09.2018;103670;103670;103670;103670
07.09.2018;103710;103710;103710;103710
07.09.2018;103650;103670;103650;103670
07.09.2018;103660;103660;103640;103650
07.09.2018;103690;103740;103690;103740
07.09.2018;103750;103750;103750;103750
07.09.2018;103820;103820;103780;103780
07.09.2018;103780;103780;103780;103780
07.09.2018;103800;103800;103750;103750
07.09.2018;103800;103800;103800;103800
07.09.2018;103750;103750;103750;103750
07.09.2018;103740;103740;103730;103730
07.09.2018;103710;103710;103710;103710
07.09.2018;103660;103660;103660;103660
07.09.2018;103670;103670;103670;103670
07.09.2018;103750;103750;103750;103750
07.09.2018;103700;103700;103700;103700
07.09.2018;103700;103700;103700;103700
07.09.2018;103650;103650;103640;103640
07.09.2018;103660;103660;103660;103660
07.09.2018;103630;103630;103630;103630
07.09.2018;103650;103650;103650;103650
07.09.2018;103650;103650;103650;103650
07.09.2018;103690;103690;103690;103690
07.09.2018;103760;103760;103760;103760
07.09.2018;103800;103800;103800;103800
07.09.2018;103770;103790;103770;103790
07.09.2018;103710;103710;103710;103710
07.09.2018;103800;103800;103750;103750
07.09.2018;103790;103790;103790;103790
07.09.2018;103730;103730;103730;103730
07.09.2018;103700;103700;103700;103700
07.09.2018;103650;103650;103650;103650
07.09.2018;103610;103610;103580;103610
07.09.2018;103680;103680;103630;103630
